OID медицинской организации;Полное наименование медицинской организации;Наименование субъекта системы здравоохранения;Наименование региона РФ;OID структурного подразделения;Наименование структурного подразделения
1.2.643.5.1.13.13.12.2.48.17233;филиал «Медицинская часть № 5» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17233.0.392221;филиал "МЧ-5" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.11886;филиал «Медицинская часть № 4» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11886.0.360424;филиал "МЧ-4" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.11885;филиал «Медицинская часть № 3» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11885.0.360298;филиал "МЧ-3" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.17234;филиал «Медицинская часть № 2» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17234.0.392249;филиал "МЧ-2" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.11884;филиал «Медицинская часть № 1» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11884.0.360186;филиал "МЧ-1" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.17237;филиал «Военно-врачебная комиссия» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17237.0.392231;филиал "ВВК" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.17236;филиал «Больница» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17236.0.392272;филиал "Б" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.122789;Администрация
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404576;филиал "МЧ-1" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404632;филиал "МЧ-2" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404642;филиал "МЧ-3" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404649;филиал "МЧ-4" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404660;филиал "МЧ-5" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404667;филиал "МЧ-6" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404675;филиал "МЧ-7" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404949;филиал "ЦМиСР" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404953;филиал "ЦГСЭН" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.404963;филиал "ВВК" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.405534;филиал "Б" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.9447;Федеральное казенное учреждение здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.9447.0.405540;филиал "ТБ" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.4527;ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ "МЕДИКО-САНИТАРНАЯ ЧАСТЬ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЛИПЕЦКОЙ ОБЛАСТИ";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4527.0.400104;Терапевтическое отделение поликлиники
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.380304;Бюро медико-социальной экспертизы № 1
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.383160;Экспертный состав № 1 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385158;Бюро медико-социальной экспертизы №2 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385164;Экспертный состав № 2 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385228;Бюро медико-социальной экспертизы №3 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385232;Бюро медико-социальной экспертизы №4
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385234;Бюро медико-социальной экспертизы №5 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385236;Бюро медико-социальной экспертизы №6 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385239;Бюро медико-социальной экспертизы №7 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385241;Бюро медико-социальной экспертизы №8
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385245;Бюро медико-социальной экспертизы №9 для освидетельствования лиц с заболеваниями и дефектами органа зрения
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385249;Бюро медико-социальной экспертизы №10 для лиц освидетельствования лиц с психическими заболеваниями
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385250;Бюро медико-социальной экспертизы №11 для освидетельствования лиц до 18 лет
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385254;Бюро медико-социальной экспертизы №12 для освидетельствования больных туберкулезом
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385256;Бюро медико-социальной экспертизы №13 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385257;Бюро медико-социальной экспертизы №14
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385260;Бюро медико-социальной экспертизы №17
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385269;Экспертный состав № 3 смешанного профиля
1.2.643.5.1.13.13.12.2.48.10949;Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Липецкой области» Министерства труда и социальной защиты Российской Федерации;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10949.0.385598;Административный аппарат
1.2.643.5.1.13.13.12.2.48.15766;Федеральное бюджетное учреждение здравоохранения «Центр гигиены и эпидемиологии в Липецкой области»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15766.0.387643;Отдел лабораторных микробиологических исследований
1.2.643.5.1.13.13.12.2.48.15766;Федеральное бюджетное учреждение здравоохранения «Центр гигиены и эпидемиологии в Липецкой области»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15766.0.387649;Бактериологическая лаборатория
1.2.643.5.1.13.13.12.2.48.15766;Федеральное бюджетное учреждение здравоохранения «Центр гигиены и эпидемиологии в Липецкой области»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15766.0.387652;Лаборатория опасных и природно-очаговых инфекций
1.2.643.5.1.13.13.12.2.48.15766;Федеральное бюджетное учреждение здравоохранения «Центр гигиены и эпидемиологии в Липецкой области»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15766.0.387655;Вирусологическая лаборатория
1.2.643.5.1.13.13.12.2.48.15766;Федеральное бюджетное учреждение здравоохранения «Центр гигиены и эпидемиологии в Липецкой области»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15766.0.387657;Паразитологическая лаборатория
1.2.643.5.1.13.13.12.2.48.15766;Федеральное бюджетное учреждение здравоохранения «Центр гигиены и эпидемиологии в Липецкой области»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15766.0.387659;Отдел санитарно-гигиенических исследований и приема образцов
1.2.643.5.1.13.13.12.2.48.13328;ООО «Медицинский комплекс»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.13328.0.382985;Взрослая поликлиника
1.2.643.5.1.13.13.12.2.48.13328;ООО «Медицинский комплекс»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.13328.0.385867;Детская поликлиника
1.2.643.5.1.13.13.12.2.48.10709;ООО «Медико-эстетический центр «Комильфо»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10709.0.365750;Отделение косметологии и эстетической медицины
1.2.643.5.1.13.13.12.2.48.14677;Общество с ограниченной ответственностью медицинская клиника «Славити»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.14677.0.395828;Медицинские работники
1.2.643.5.1.13.13.12.2.48.15470;Общество с ограниченной ответственностью «ЭРА-1»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15470.0.387990;ООО "ЭРА-1"
1.2.643.5.1.13.13.12.2.48.13126;Общество с ограниченной ответственностью «ПРОФЕССИОНАЛ»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.13126.0.387351;основное
1.2.643.5.1.13.13.12.2.48.12164;Общество с ограниченной ответственностью «Первая Медицинская Клиника»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.12164.0.368037;Поликлиника
1.2.643.5.1.13.13.12.2.48.12164;Общество с ограниченной ответственностью «Первая Медицинская Клиника»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.12164.0.368812;Детская поликлиника
1.2.643.5.1.13.13.12.2.48.12164;Общество с ограниченной ответственностью «Первая Медицинская Клиника»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.12164.0.368905;Лаборатория
1.2.643.5.1.13.13.12.2.48.12164;Общество с ограниченной ответственностью «Первая Медицинская Клиника»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.12164.0.407634;Педиатрическое отделение
1.2.643.5.1.13.13.12.2.48.18547;Общество с ограниченной ответственностью «Окулюс»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.18547.0.430087;Амбулаторное подразделение
1.2.643.5.1.13.13.12.2.48.18547;Общество с ограниченной ответственностью «Окулюс»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.18547.0.430099;Подразделение стационара
1.2.643.5.1.13.13.12.2.48.18547;Общество с ограниченной ответственностью «Окулюс»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.18547.0.430124;Административно-хозяйственное подразделение
1.2.643.5.1.13.13.12.2.48.18547;Общество с ограниченной ответственностью «Окулюс»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.18547.0.430379;Подразделение аптеки
1.2.643.5.1.13.13.12.2.48.18250;Общество с ограниченной ответственностью «Наш Доктор»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.18250.0.408724;Медицинский центр г.Липецк
1.2.643.5.1.13.13.12.2.48.18250;Общество с ограниченной ответственностью «Наш Доктор»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.18250.0.408725;Медицинский центр г.Лебедянь
1.2.643.5.1.13.13.12.2.48.12499;Общество с ограниченной ответственностью «Мэджик М»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.12499.0.392997;Основное
1.2.643.5.1.13.13.12.2.48.10830;Общество с ограниченной ответственностью «МРТ Эксперт Липецк»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10830.0.388353;Кабинет МРТ Обособленного подразделения №1 (г. Елец)
1.2.643.5.1.13.13.12.2.48.10830;Общество с ограниченной ответственностью «МРТ Эксперт Липецк»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10830.0.388354;Кабинет МРТ Обособленного подразделения № 2 (БСМП)
1.2.643.5.1.13.13.12.2.48.10830;Общество с ограниченной ответственностью «МРТ Эксперт Липецк»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10830.0.388357;Кабинет МРТ г. Липецк
1.2.643.5.1.13.13.12.2.48.18298;Общество с ограниченной ответственностью «Максим» Медицинский центр «Ваш Доктор»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.18298.0.409608;Медицинский центр "Ваш Доктор"
1.2.643.5.1.13.13.12.2.48.15416;Общество с ограниченной ответственностью «Дракоша»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15416.0.393243;ООО "Дракоша"
1.2.643.5.1.13.13.12.2.48.13675;Общество с ограниченной ответственностью «БИГ»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.13675.0.382941;Клиника "Стоматолог и Я"
1.2.643.5.1.13.13.12.2.48.13829;Общество с ограниченной ответственностью «Авиценна»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.13829.0.382663;Стоматология на Елецком
1.2.643.5.1.13.13.12.2.48.15617;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЭРА - 2";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15617.0.387618;ООО "ЭРА-2"
1.2.643.5.1.13.13.12.2.48.17637;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЦЕНТР КИНЕЗИТЕРАПИИ";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17637.0.397838;Отделение спортивной медицины
1.2.643.5.1.13.13.12.2.48.10461;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СИТИЛАБ-ЛИПЕЦК-ВОРОНЕЖ";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.10461.0.288200;Подразделение общеклинических исследований
1.2.643.5.1.13.13.12.2.48.15779;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ПАНТЕРА";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.15779.0.388459;ООО "ПАНТЕРА"
1.2.643.5.1.13.13.12.2.48.14111;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "НАДЕЖНЫЕ РУКИ";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.14111.0.387492;Медицинский центр
1.2.643.5.1.13.13.12.2.48.16904;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "КРИОМЕД";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.16904.0.390289;Медицинский центр Аура
1.2.643.5.1.13.13.12.2.48.12327;Общество с ограниченной ответственностью "АЗБУКА МЕД";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.12327.0.372867;ООО «АЗБУКА МЕД»
1.2.643.5.1.13.13.12.2.48.4546;Областное казенное учреждение Липецкий областной противотуберкулезный санаторий "Лесная сказка";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4546.0.359705;санаторий
1.2.643.5.1.13.13.12.2.48.4546;Областное казенное учреждение Липецкий областной противотуберкулезный санаторий "Лесная сказка";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4546.0.413095;Клинико-диагностическая лаборатория
1.2.643.5.1.13.13.12.2.48.4514;Областное казенное учреждение Елецкий специализированный Дом ребенка;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4514.0.225833;Общебольничный медицинский персонал
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.228464;стационар
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357779;клинико-диагностическая лаборатория
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357805;стоматологический кабинет
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357821;Рентгенологический кабинет
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357846;кабинет лечебной физкультуры
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357860;физиотерапевтический кабинет
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357876;кабинет ультразвуковой диагностики
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357882;кабинет массажа
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357946;оториноларингологический кабинет
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357951;процедурный кабинет
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357957;приемное отделение
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357968;центральное стерилизационное отделение
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.357971;кабинет дезинфекции
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.360855;административное
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.391624;учебно-воспитательное
1.2.643.5.1.13.13.12.2.48.4541;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4541.0.393090;бухгалтерия
